$00:0500  NMI_RamTrampoline
$00:0504  IRQ_RamTrampoline
$00:FF00  Reset_Stub_Emu
$FD:C000  HwInit_Bootstrap
$C0:000E  MainBoot_Stage1
$C0:00F4  Run_InitDescriptorLoaders
$C0:092B  Select_InitDescriptor_14Byte
$C0:0B4E  DisableDisplayAndInterrupts
$C0:0B64  Install_NMI_RamTrampoline
$C0:0B75  Install_IRQ_RamTrampoline
$C0:0B86  Reset_MainRuntimeState
$C0:2DF1  WramZeroFill_M7Result_DMA7
$C0:3711  Install_CurrentSlot_PaletteTemplatePair_FromE4
$C0:4892  Parse_PaletteDescriptorDispatch
$C0:48C0  ReuseOrInit_PaletteSlot_From7F0B80
$C0:4919  Alloc_PaletteFxSlot_Type20or30
$C0:4926  Build_PaletteFxDescriptor_Type20or30
$C0:4970  Alloc_PaletteFxSlot_Type4x5x
$C0:497E  Build_PaletteFxDescriptor_Type4x5x
$C0:49F8  Build_PalettePayloadTransfer_Type80
$C0:4A4E  Parse_PaletteRuntimeDescriptorDispatch
$C0:4A72  Alloc_PaletteFxSlot_Runtime4x5x
$C0:4A81  Build_PaletteFxDescriptor_Runtime4x5x
$C0:4AE5  Build_PalettePayloadTransfer_Runtime80
$C0:4B2C  Find_Free_0520_12ByteDescriptorSlot
$C0:56A6  Build_RuntimeSlots_From7F2000
$C0:56D4  DescriptorDecompress_Group0008_To7F2000_AndBuild
$C0:5709  Init_SlotWorkTables_From7F2000_Count
$C0:58DE  Build_SlotCommandState_FromPrimaryStream
$C0:5929  Reset_0920_092F_ToFF
$C0:595C  Run_Secondary7F2000_CommandStream
$C0:59D9  Refresh_RunnableSlotLinkedList
$C0:5A46  Run_TimeBudgetedSlotScheduler
$C0:5A93  Run_BoundedSlotCommandBurst
$C0:5CC7  Validate_7F2000_HeaderAndSize
$C0:5CED  Init_7F3700_TemplateBlocks
$C0:5D6E  SlotVm_OpcodeTable
$C0:5F6E  Fatal_Invalid7F2000Opcode
$C0:5F74  AdvanceOrAllocate_SlotBucket
$C0:61E9  Promote_MappedTargetSlot_Arg1
$C0:61FE  Poll_MappedTargetSlot_Arg1
$C0:6240  Set_SlotBusyFlag
$C0:624B  Clear_SlotBusyFlag
$C0:6254  Terminate_Slot
$C0:6269  Set_TargetSlot_Flag80_1000
$C0:6282  Clear_TargetSlot_Flag80_1000
$C0:6295  Set_CurrentSlot_Byte1C80_Immediate
$C0:62A4  Set_CurrentSlot_Byte1C81_Immediate
$C0:62B5  Skip_ImmediateByteCount
$C0:62CB  Rewind_ImmediateByteCount
$C0:62DE  ScriptTest_VarByte_ImmByte_SkipIfFalse
$C0:6313  ScriptTest_VarWord_ImmByte_SkipIfFalse
$C0:6361  ScriptTest_VarWord_VarWord_BytePredicate_SkipIfFalse
$C0:63A4  ScriptTest_VarWord_VarWord_WordPredicate_SkipIfFalse
$C0:63E6  ScriptTest_TableOrIndexWord_WordPredicate_SkipIfFalse
$C0:6467  SlotVm_CompareBytePredicateTable
$C0:6477  SlotVm_CompareWordPredicateTable
